express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),est dep time (local),sch arrv time (local),est arrv time (local)
C5-Commutair,4950,IAD ,ITH ,2025-10-30,0202,2025-10-30 22:30:00,2025-10-31 11:55:00,2025-10-30 23:43:00,2025-10-31 13:08:00
G7-GoJet,4179,AVL ,EWR ,2025-10-30,0569,2025-10-30 15:36:00,2025-10-31 11:30:00,2025-10-30 17:44:00,2025-10-31 13:38:00
G7-GoJet,4456,PWM ,EWR ,2025-10-30,0541,2025-10-30 19:47:00,2025-10-31 14:25:00,2025-10-30 21:30:00,2025-10-31 16:08:00
G7-GoJet,4545,IAD ,PWM ,2025-10-30,0539,2025-10-30 22:13:00,2025-10-31 14:00:00,2025-10-30 23:59:00,2025-10-31 15:46:00
G7-GoJet,4545,IAD ,PWM ,2025-10-30,0539,2025-10-30 22:13:00,2025-10-31 14:00:00,2025-10-30 23:59:00,2025-10-31 15:46:00
G7-GoJet,4560,DCA ,EWR ,2025-10-30,0554,2025-10-30 15:20:00,2025-10-31 14:15:00,2025-10-30 17:00:00,2025-10-31 15:55:00
OO-Skywest,5612,LAX ,SAN ,2025-10-30,0613,2025-10-30 22:42:00,2025-10-31 14:00:00,2025-10-30 23:44:00,2025-10-31 15:02:00
YV-Mesa,4032,IAD ,CLT ,2025-10-30,1352,2025-10-30 22:23:00,2025-10-31 11:37:00,2025-10-30 23:58:00,2025-10-31 13:12:00
YV-Mesa,4032,IAD ,CLT ,2025-10-30,1352,2025-10-30 22:23:00,2025-10-31 11:37:00,2025-10-30 23:58:00,2025-10-31 13:12:00
YV-Mesa,4032,IAD ,CLT ,2025-10-30,1352,2025-10-30 22:23:00,2025-10-31 11:37:00,2025-10-30 23:58:00,2025-10-31 13:12:00
YX-Republic,3472,ORD ,GRB ,2025-10-30,0744,2025-10-30 20:20:00,2025-10-31 11:00:00,2025-10-30 21:38:00,2025-10-31 12:18:00
YX-Republic,3585,IAD ,IND ,2025-10-30,0750,2025-10-30 17:25:00,2025-10-31 11:15:00,2025-10-30 19:16:00,2025-10-31 13:06:00
YX-Republic,3585,IAD ,IND ,2025-10-30,0750,2025-10-30 17:25:00,2025-10-31 11:15:00,2025-10-30 19:16:00,2025-10-31 13:06:00
YX-Republic,3585,IAD ,IND ,2025-10-30,0750,2025-10-30 17:25:00,2025-10-31 11:15:00,2025-10-30 19:16:00,2025-10-31 13:06:00
YX-Republic,3693,MKE ,EWR ,2025-10-30,0757,2025-10-30 11:03:00,2025-10-31 11:45:00,2025-10-30 14:19:00,2025-10-31 14:01:00
YX-Republic,3693,MKE ,EWR ,2025-10-30,0757,2025-10-30 11:03:00,2025-10-31 11:45:00,2025-10-30 14:19:00,2025-10-31 14:01:00
YX-Republic,3693,MKE ,EWR ,2025-10-30,0757,2025-10-30 11:03:00,2025-10-31 11:45:00,2025-10-30 14:19:00,2025-10-31 14:01:00
